,Attribution,Change_percent,Change_percent_20_days,Change_percent_251_days,Change_percent_5_days,Company Name,Market Cap,Price,Sector,Summary
ONT,,-1.67,-9.039941993075901,-16.68806324934437,-6.752871518910532,Oxford Nanopore Technologies plc,$1.3B,129.8,Healthcare,"Oxford Nanopore Technologies develops and sells nanopore sequencing products for direct, electronic analysis of single molecules.
"
BRBY,,-1.66,22.520661157024794,-4.3836890429179,-0.41981528127623846,Burberry Group plc,$4.4B,1186.0,Consumer Cyclical,"Burberry Group plc is a UK-based global luxury goods company that manufactures, retails, wholesales, and licenses apparel and accessories under the Burberry brand.
"
RPI,,-1.56,29.42222222222222,,-0.546448087431694,Raspberry Pi Holdings plc,$1.4B,728.0,Technology,"Raspberry Pi Holdings plc designs and manufactures single-board computers (SBCs) and compute modules for industrial IoT, embedded uses, education, and enthusiasts.
"
IPO,,-1.38,-1.5717121844724562,3.045666575138262e-06,-3.46821093055531,IP Group Plc,$511.4M,50.1,Financial Services,"IP Group PLC is a UK-based investor that develops and supports early-stage science and technology businesses, particularly in deep tech, life sciences, and clean technology.
"
DOCS,,-1.37,8.547657573836325,-16.970668828888833,1.1988694722535929,Dr. Martens plc,$711.8M,71.75,Consumer Cyclical,"Dr. Martens plc designs, develops, markets, and distributes footwear (including boots, shoes, and sandals) and accessories under the Dr. Martens brand.
"
PAGE,,-1.35,6.631297576837571,-25.737453409684214,-0.9852179535820784,PageGroup plc,$1.1B,321.6,Industrials,"PageGroup plc is a UK-based recruitment consultancy offering services and career opportunities through brands like Michael Page and Page Executive.
"
HAS,,-1.32,4.9685139305595865,-19.650931422776164,-0.39841041115443776,Hays plc,$1.2B,75.0,Industrials,"Hays plc is a global recruitment company placing candidates in permanent, temporary, and contractual roles across various sectors.
"
GDWN,,-1.32,-4.213333333333334,31.4563326436257,-1.3186813186813187,Goodwin PLC,$549.7M,7184.0,Industrials,"Goodwin PLC is a mechanical and refractory engineering company specializing in design, manufacture, and supply of related products and solutions.
"
JII,,-1.13,0.047808764940240854,9.65938864628821,-0.938856015779091,JPMorgan Indian Ord,$685.5M,1004.48,,"JPMorgan Indian Investment Trust plc aims to achieve capital growth by investing in a diversified portfolio of quoted Indian companies, seeking to outperform the MSCI India Index.
"
WOSG,,-1.05,16.542907224923496,37.40271965642195,1.1638316920322291,Watches of Switzerland Group PLC,$1.3B,565.0,Consumer Cyclical,"Watches of Switzerland Group PLC is an international retailer of luxury watches and jewelry, operating under brands like Watches of Switzerland, Mappin & Webb, and Goldsmiths.
"
VEIL,,-0.76,-0.7630252100840275,2.5104166666666727,-1.0954773869346672,Vietnam Enterprise Ord,$1.1B,590.46,,"Vietnam Enterprise Investments Ltd (VEIL) is a closed-ended equity mutual fund that primarily invests in listed and pre-IPO companies in Vietnam.
"
DLG,,-0.75,4.720693625421691,65.93063562593346,0.3014341077293487,Direct Line Insurance Group plc,$3.5B,266.2,Financial Services,"Direct Line Insurance Group is a UK-based company offering a range of general insurance products, including motor, home, and commercial, through brands like Direct Line and Churchill.
"
ASHM,,-0.67,12.968226433423505,-15.256691833541836,-1.2529533017016992,Ashmore Group Plc,$1.1B,167.08,Financial Services,"Ashmore Group PLC is a UK-based investment manager specializing in emerging markets, managing assets across various investment themes.
"
WWH,,-0.6,5.247678018575848,7.094366737595147,-0.1615271659324556,Worldwide Healthcare Ord,$1.7B,339.95,,"Worldwide Healthcare Ord is an investment trust focused on achieving capital growth by investing in the global healthcare sector, including pharmaceutical and biotechnology companies.
"
SPT,,-0.59,7.188405797101452,56.82781815691044,-0.05405405405405099,Spirent Communications plc,$1.1B,184.9,Technology,"Spirent Communications provides automated test and assurance solutions for networks, cybersecurity, and positioning technologies like 5G and the Internet of Things.
"
SSPG,,-0.48,6.572242341969166,-17.734005396460923,-1.3099186044790692,SSP Group plc,$1.5B,177.05,Consumer Cyclical,"SSP Group plc operates food and beverage outlets in travel locations like airports and train stations worldwide.
"
LRE,,-0.47,3.3980582524271843,20.265647843722075,-0.31201248049922,Lancashire Holdings Limited,$1.6B,639.0,Financial Services,"Lancashire Holdings Ltd is a global specialty insurance and reinsurance provider with operations in London, Bermuda, the U.S. and Australia.
"
PPET,,-0.45,3.219152854511974,11.58148838595082,-0.09269162210338357,Patria Private Equity Trust,$846.9M,560.48,,"Patria Private Equity Trust invests in a diversified portfolio of private equity funds and direct investments in private companies, primarily with a European focus.
"
RWI,,-0.37,0.0,47.35261828382473,0.24968789013732834,Renewi plc,$639.7M,803.0,Industrials,"Renewi plc is a waste-to-product company focused on extracting value from waste and used materials through recycling and treatment services, primarily in the Benelux region.
"
TFIF,,-0.36,3.1919207505401137,13.048639009349403,0.7339449541284377,TwentyFour Income Ord,$814.3M,109.8,,"TwentyFour Income Fund is a London-listed investment company that invests in less liquid, higher-yielding UK and European asset-backed securities, aiming for attractive risk-adjusted returns through income distribution.
"
POLN,,-0.32,0.9947368421052559,51.05731857318572,-2.8405063291139308,Pollen Street Group Limited,$478.7M,767.56,Financial Services,"Pollen Street Group is a listed alternative asset manager focused on investments in the financial and business services sectors.
"
BMY,,-0.31,8.305647840531561,35.532920569748995,-1.2121212121212122,Bloomsbury Publishing Plc,$535.9M,652.0,Communication Services,"Bloomsbury Publishing Plc is a global publisher of fiction, non-fiction, academic, and educational books for a wide range of audiences.
"
CCL,,-0.31,10.777084515031197,79.25653969710876,-1.2139605462822458,Carnival Corporation & plc,$25.8B,1953.0,Consumer Cyclical,"Carnival Corporation & plc is a global cruise and vacation company with a portfolio of cruise lines, offering cruises to various destinations.
"
BAB,,-0.29,21.916903561819307,31.53076446608804,9.567467652495377,Babcock International Group PLC,$3.0B,592.76,Industrials,"Babcock International Group PLC is a British engineering company specializing in defence, aerospace, and nuclear engineering, providing support services and managing complex assets.
"
FEML,,-0.29,4.8925686417347025,16.954109296700864,1.9184617178111238,Fidelity Emerging Markets Ord,$492.0M,722.5,,"Fidelity Emerging Markets Ord aims for long-term growth by investing primarily in emerging market companies.
"
