,Company Name,Sector,Market Cap,Summary,Price,Change_percent
RPI,Raspberry Pi Holdings plc,Technology,$1.4B,"Raspberry Pi Holdings plc designs and manufactures single-board computers (SBCs) and compute modules for industrial IoT, embedded uses, education, and enthusiasts.
",743.39,-2.89
VTY,Vistry Group PLC,Consumer Cyclical,$2.0B,"Vistry Group PLC is a UK-based company focused on developing mixed-tenure homes and communities, operating through brands like Bovis Homes and Countryside Partnerships.
",587.8,-2.44
DOCS,Dr. Martens plc,Consumer Cyclical,$711.8M,"Dr. Martens plc designs, develops, markets, and distributes footwear (including boots, shoes, and sandals) and accessories under the Dr. Martens brand.
",73.6,-1.67
TPK,Travis Perkins plc,Industrials,$1.5B,"Travis Perkins plc is a UK-based distributor of building materials and home improvement products, also offering tool hire services.
",704.0,-1.4
MOON,Moonpig Group PLC,Consumer Cyclical,$775.4M,"Moonpig Group PLC is a UK-based online greeting card and gifting platform with brands like Moonpig, Red Letter Days, Buyagift, and Greetz.
",222.5,-1.33
BBH,Bellevue Healthcare Ord,,$369.5M,"Bellevue Healthcare Trust is a UK-based investment trust focused on investing in listed global healthcare companies, aiming for long-term capital growth and income for its shareholders.
",145.5,-1.29
BYIT,Bytes Technology Group plc,Technology,$1.1B,"Bytes Technology Group PLC is a UK-based IT company that provides software, security, and cloud solutions to both public and private sectors.
",466.2,-1.19
BNKR,Bankers Ord,,$1.4B,"Bankers Investment Trust aims for capital growth exceeding the FTSE World Index and dividend growth greater than UK CPI by investing in global companies.
",125.0,-1.11
PCFT,Polar Capital Global Financials Ord,,$624.6M,"Polar Capital Global Financials Trust invests in global financial sector companies, including banks, insurers, asset managers, and fintechs, aiming for income and capital growth.
",204.75,-1.09
AML,Aston Martin Lagonda Global Holdings plc,Consumer Cyclical,$982.7M,"Aston Martin Lagonda Global Holdings plc designs, develops, manufactures, and markets luxury vehicles and related parts, offering servicing and consulting.
",111.0,-1.07
GEN,Genuit Group plc,Industrials,$971.8M,"Genuit Group plc provides sustainable water, climate, and ventilation solutions for the built environment, helping customers adapt to climate change and meet sustainability targets.
",386.5,-1.02
WWH,Worldwide Healthcare Ord,,$1.7B,"Worldwide Healthcare Ord is an investment trust focused on achieving capital growth by investing in the global healthcare sector, including pharmaceutical and biotechnology companies.
",342.5,-1.01
JFJ,JPMorgan Japanese Ord,,$983.7M,"JPMorgan Japanese Ord is a UK-based investment trust seeking capital growth by investing in a portfolio of Japanese companies.
",598.0,-0.99
DSCV,discoverIE Group plc,Technology,$592.7M,"discoverIE Group plc designs and manufactures customized electronic components for industrial applications.
",612.0,-0.97
MONY,MONY Group plc,Communication Services,$1.0B,"MONY Group PLC operates a tech-led savings platform with brands like MoneySuperMarket and MoneySavingExpert, helping households save money by comparing prices and offering financial tools.
",187.7,-0.9
IEM,Impax Environmental Markets Ord,,$941.1M,"Impax Environmental Markets invests in companies providing, utilizing, or advising on technology-based systems, products, or services in environmental markets, like alternative energy and pollution control.
",395.5,-0.88
FOUR,4imprint Group plc,Communication Services,$1.6B,"4imprint Group plc is a direct marketer and distributor of promotional products like apparel, stationery, and technology, primarily in North America and the UK & Ireland.
",5700.0,-0.87
OXIG,Oxford Instruments plc,Technology,$1.2B,"Oxford Instruments plc provides high-tech products and services for imaging, analyzing, and manipulating materials at the atomic level for industry and research.
",1988.0,-0.85
THRL,Target Healthcare REIT Ord,,$544.8M,"Target Healthcare REIT is a UK-based real estate investment trust that invests in a diversified portfolio of freehold and long leasehold care homes and other healthcare assets, letting them to care home operators.
",88.1,-0.79
SMWH,WH Smith PLC,Consumer Cyclical,$1.6B,"WH Smith PLC is a global retailer of news, books, and convenience products, operating through Travel and High Street divisions.
",1272.0,-0.78
THRG,BlackRock Throgmorton Trust Ord,,$507.6M,"BlackRock Throgmorton Trust plc invests primarily in UK smaller and mid-capitalization companies traded on the London Stock Exchange, seeking long-term capital growth and an attractive total return for shareholders.
",596.3,-0.78
SAFE,Safestore Holdings Plc,Real Estate,$1.3B,"Safestore Holdings PLC is the UK's largest self-storage company, providing storage solutions for personal and business customers in the UK, Paris, and other European locations, and also sells insurance and merchandise.
",606.5,-0.74
SVS,Savills plc,Real Estate,$1.5B,"Savills plc is a global real estate services provider offering advisory, management, and transactional services across various property segments.
",1080.0,-0.74
TRST,Trustpilot Group plc,Technology,$1.5B,"Trustpilot Group plc operates a global online platform where consumers can review businesses and businesses can improve their service.
",352.89,-0.73
BOWL,Hollywood Bowl Group plc,Consumer Cyclical,$481.0M,"Hollywood Bowl Group plc is a leading leisure operator of ten-pin bowling and mini-golf centers in the UK and Canada, offering entertainment, amusements, food and drink.
",274.0,-0.72
XPS,XPS Pensions Group plc,Consumer Cyclical,$733.7M,"XPS Pensions Group PLC is a UK-based pensions consulting and administration business, providing services to over 1,400 pension schemes.
",348.5,-0.71
SAIN,Scottish American Ord,,$918.6M,"Scottish American Ord is a UK-based investment trust aiming to grow dividends faster than inflation through global equities, bonds, property, and other assets.
",521.34,-0.7
BUT,Brunner Ord,,$619.1M,"Brunner Ord is a UK-based investment company aiming for long-term growth in capital and dividends by investing in a global portfolio of equities.
",1415.0,-0.7
BRGE,BlackRock Greater Europe Ord,,$586.5M,"BlackRock Greater Europe Ord is a UK investment trust focused on achieving capital growth through a portfolio of European companies, including large, mid, and small capitalization businesses.
",606.8,-0.69
IBST,Ibstock plc,Basic Materials,$673.8M,"Ibstock plc manufactures and supplies clay bricks and concrete products to the UK construction industry.
",172.2,-0.69
GNC,Greencore Group plc,Consumer Defensive,$928.8M,"Greencore Group plc is a UK-based convenience food manufacturer, supplying chilled and frozen foods like sandwiches, salads, and ready meals to major retailers.
",206.1,-0.68
BREE,Breedon Group plc,Basic Materials,$1.5B,"Breedon Group PLC supplies the construction industry with essential materials like aggregates, asphalt, ready-mix concrete, and cement in Great Britain, Ireland, and the USA.
",445.0,-0.67
N91,Ninety One Group,Financial Services,$1.3B,"Ninety One is a global investment manager offering active strategies across equities, fixed income, multi-asset, and alternative investments to institutions and advisors.
",150.0,-0.66
ROO,Deliveroo plc,Consumer Cyclical,$2.0B,"Deliveroo is a UK-based online food delivery platform connecting consumers, riders, and restaurants.
",134.7,-0.66
GRG,Greggs plc,Consumer Cyclical,$2.2B,"Greggs plc is a UK-based food-on-the-go retailer and bakery chain, offering a variety of fresh bakery goods, sandwiches, and drinks.
",2128.0,-0.65
CCC,Computacenter plc,Technology,$2.4B,"Computacenter plc is a UK-based IT services provider that helps clients source, transform, and manage digital technology.
",2246.0,-0.62
VCT,Victrex plc,Basic Materials,$876.5M,"Victrex plc is a UK-based company that manufactures and sells high-performance polymers, predominantly PEEK, serving diverse industries like aerospace, medical, and automotive.
",983.0,-0.61
AGT,AVI Global Trust Ord,,$1.1B,"AVI Global Trust is a UK-based investment trust aiming for capital growth by investing in undervalued companies, particularly those with share prices discounted to net asset value.
",245.5,-0.61
HWG,Harworth Group plc,Real Estate,$547.8M,"Harworth Group plc is a UK property developer specializing in brownfield regeneration, creating sustainable places for people to live and work in the North of England and the Midlands.
",165.5,-0.6
JGGI,JPMorgan Global Growth & Income Ord,,$3.1B,"JPMorgan Global Growth & Income Ord aims to provide superior total returns by investing in companies worldwide, outperforming the MSCI All Country World Index over the long term.
",605.38,-0.59
ABDN,abrdn plc,Financial Services,$2.8B,"abrdn plc is a global investment company managing investments and providing financial planning solutions through its Investments, Adviser, and Interactive Investor segments.
",157.2,-0.57
KLR,Keller Group plc,Industrials,$987.2M,"Keller Group PLC is a geotechnical specialist contractor providing advanced foundation and ground improvement techniques across the construction sector.
",1384.0,-0.57
RSW,Renishaw plc,Technology,$2.6B,"Renishaw PLC is a UK-based engineering company that designs, manufactures, and sells high-precision metrology and healthcare systems.
",3565.0,-0.56
IHP,IntegraFin Holdings plc,Financial Services,$1.2B,"IntegraFin Holdings plc operates Transact, a UK investment platform providing financial planning infrastructure to financial advisors and their clients.
",359.5,-0.55
COA,Coats Group plc,Consumer Cyclical,$1.5B,"Coats Group plc is a global leader in industrial thread and structural components for apparel, footwear, and performance materials.
",91.1,-0.55
RS1,RS Group plc,Industrials,$3.1B,"RS Group plc is a global distributor of industrial and electrical products and service solutions, offering over 600,000 products to over 1 million customers.
",639.0,-0.54
WKP,Workspace Group Plc,Real Estate,$913.4M,"Workspace Group PLC is a REIT that acquires, designs, develops, and owns office buildings, leasing workspace to small and medium-sized enterprises in London.
",468.5,-0.53
BPT,Bridgepoint Group plc,Financial Services,$3.1B,"Bridgepoint Group plc is a UK-based private equity and credit fund manager focused on investing in middle-market businesses.
",376.2,-0.53
BYG,Big Yellow Group Plc,Real Estate,$1.9B,"Big Yellow Group PLC is a UK-based company that acquires, owns, and manages self-storage facilities.
",951.0,-0.52
ATG,Auction Technology Group plc,Technology,$739.2M,"Auction Technology Group (ATG) operates online marketplaces and auction services, connecting bidders to auction houses globally for items in Industrial & Commercial and Art & Antiques sectors.
",587.0,-0.51
BBOX,Tritax Big Box Ord,,$3.8B,"Tritax Big Box REIT is a British real estate investment trust (REIT) that invests in large distribution centers and warehouse properties crucial for the UK supply chain.
",148.24,-0.51
HGT,HgCapital Trust Ord,,$2.4B,"HgCapital Trust invests in unquoted software and service companies, aiming for long-term returns exceeding the FTSE All-Share Index.
",519.51,-0.48
PRSR,PRS REIT Ord,,$616.6M,"PRS REIT invests in newly constructed UK residential rental homes, targeting the family market, to provide investors with income and capital growth.
",109.48,-0.47
TATE,Tate & Lyle plc,Consumer Defensive,$2.9B,"Tate & Lyle is a global provider of specialty food and beverage solutions, offering ingredients like sweeteners, texturants, and fiber enrichments.
",652.94,-0.47
CKN,Clarkson PLC,Industrials,$1.3B,"Clarkson PLC provides integrated shipping services and investment banking to the shipping and offshore markets, facilitating global trade.
",4395.0,-0.45
PNL,Personal Assets Ord,,$1.6B,"Personal Assets Trust PLC aims to protect and increase shareholders' funds over the long term by investing in equities, fixed income, cash, and gold.
",510.71,-0.45
GCP,GCP Infrastructure Investment Ord,,$630.4M,"GCP Infrastructure Investments is a Jersey-based investment company focused on UK infrastructure debt and similar assets, aiming to provide long-term dividend income and preserve capital.
",73.27,-0.45
ALFA,Alfa Financial Software Holdings PLC,Technology,$663.7M,"Alfa Financial Software Holdings PLC provides software and services, including its Alfa Systems platform, to the auto and equipment finance industry globally.
",225.0,-0.44
TRN,Trainline Plc,Consumer Cyclical,$1.6B,"Trainline Plc is a UK-based independent rail and coach travel platform, selling tickets worldwide.
",351.85,-0.44
GNS,Genus plc,Healthcare,$1.2B,"Genus PLC is an animal genetics company supplying elite breeding animals, semen, and embryos to cattle and pig farmers, enabling them to produce quality meat and milk.
",1806.0,-0.44
PLUS,Plus500 Ltd.,Financial Services,$2.1B,"Plus500 is a global fintech group operating technology-based trading platforms, offering online trading services in CFDs, share dealing, and futures.
",2860.0,-0.42
JMAT,Johnson Matthey Plc,Basic Materials,$2.4B,"Johnson Matthey is a specialty chemicals and sustainable technologies company focused on transforming energy, reducing emissions, and advanced metals chemistry.
",1435.0,-0.42
ROR,Rotork plc,Industrials,$2.9B,"Rotork plc is a UK-based company that designs and manufactures industrial flow control equipment, including actuators and related products, for various markets like oil & gas, water, and power.
",338.4,-0.41
BRBY,Burberry Group plc,Consumer Cyclical,$4.4B,"Burberry Group plc is a UK-based global luxury goods company that manufactures, retails, wholesales, and licenses apparel and accessories under the Burberry brand.
",1230.03,-0.4
SSPG,SSP Group plc,Consumer Cyclical,$1.5B,"SSP Group plc operates food and beverage outlets in travel locations like airports and train stations worldwide.
",179.9,-0.39
BGFD,Baillie Gifford Japan Ord,,$635.7M,"Baillie Gifford Japan Ord aims for long-term capital growth by investing in medium to smaller-sized Japanese companies.
",772.0,-0.39
MGAM,Morgan Advanced Materials plc,Industrials,$761.7M,"Morgan Advanced Materials manufactures specialist products using advanced ceramics, carbon, and composites for various industries.
",264.5,-0.38
EMG,Man Group Plc,Financial Services,$2.5B,"Man Group plc is a technology-empowered active investment management firm providing investment funds in liquid and private markets for institutional and private investors.
",212.4,-0.38
PHP,Primary Health Properties Plc,Real Estate,$1.2B,"Primary Health Properties PLC is a UK-based real estate investment trust that invests in modern primary healthcare properties, leasing them to GPs, government healthcare bodies, and pharmacies in the UK and Ireland.
",92.55,-0.38
ELM,Elementis plc,Basic Materials,$930.2M,"Elementis plc is a UK-based specialty chemicals company manufacturing additives and chemicals for consumer and industrial applications.
",156.8,-0.38
BOY,Bodycote plc,Industrials,$1.2B,"Bodycote PLC is a global provider of heat treatment and thermal processing services that improve the properties of metals and alloys.
",637.65,-0.37
SSON,Smithson Investment Trust Ord,,$2.0B,"Smithson Investment Trust invests in shares of small and mid-sized listed companies globally, aiming for long-term growth.
",1540.32,-0.37
TCAP,TP ICAP Group PLC,Financial Services,$2.0B,"TP ICAP Group PLC is a UK-based liquidity and data solutions company, providing intermediary services and data-led solutions across financial, energy, and commodities markets.
",271.0,-0.37
