Ticker,Company Name,Sector,Market Cap,Summary
3IN,3i Infrastructure Ord,N/A,$3.0B,"3i Infrastructure is a listed investment company that invests in infrastructure businesses, mainly in Europe and Asia, focusing on utilities, transportation and social infrastructure.
"
FOUR,4imprint Group plc,Communication Services,$1.6B,"4imprint Group plc is a direct marketer and distributor of promotional products like apparel, stationery, and technology, primarily in North America and the UK & Ireland.
"
ABDN,abrdn plc,Financial Services,$2.8B,"abrdn plc is a global investment company managing investments and providing financial planning solutions through its Investments, Adviser, and Interactive Investor segments.
"
ALFA,Alfa Financial Software Holdings PLC,Technology,$663.7M,"Alfa Financial Software Holdings PLC provides software and services, including its Alfa Systems platform, to the auto and equipment finance industry globally.
"
ATT,Allianz Technology Trust Ord,N/A,$1.7B,"Allianz Technology Trust is a UK investment trust aiming for long-term capital growth by investing in quoted technology companies worldwide.
"
ALPH,Alpha Group International plc,Financial Services,$1.1B,"Alpha Group International PLC is a UK-based financial services business providing FX risk management and alternative banking solutions to international corporates and institutions.
"
AO,AO World plc,Consumer Cyclical,$578.9M,"AO World PLC is a UK-based online retailer of domestic appliances and electrical products, also offering installation, recycling, and product protection services.
"
APAX,Apax Global Alpha Ord,N/A,$672.0M,"Apax Global Alpha is a closed-ended investment company that invests in private equity through Apax Funds and derived investments in equities and debt, aiming for long-term capital appreciation and dividends.
"
ASHM,Ashmore Group Plc,Financial Services,$1.1B,"Ashmore Group PLC is a UK-based investment manager specializing in emerging markets, managing assets across various investment themes.
"
DIG,Dunedin Income Growth Ord,N/A,$384.9M,"Dunedin Income Growth aims to achieve income and capital growth by investing mainly in UK-listed companies that meet its sustainable and responsible investing criteria.
"
ASC,ASOS Plc,Consumer Cyclical,$481.3M,"ASOS Plc is a UK-based global online fashion and cosmetic retailer targeting young adults, offering over 850 brands, including its own, and shipping to 196 countries.
"
AGR,Assura Plc,Real Estate,$1.2B,"Assura PLC is a UK-based healthcare property investor and developer, specialising in primary care buildings.
"
AML,Aston Martin Lagonda Global Holdings plc,Consumer Cyclical,$982.7M,"Aston Martin Lagonda Global Holdings plc designs, develops, manufactures, and markets luxury vehicles and related parts, offering servicing and consulting.
"
ATG,Auction Technology Group plc,Technology,$739.2M,"Auction Technology Group (ATG) operates online marketplaces and auction services, connecting bidders to auction houses globally for items in Industrial & Commercial and Art & Antiques sectors.
"
AGT,AVI Global Trust Ord,N/A,$1.1B,"AVI Global Trust is a UK-based investment trust aiming for capital growth by investing in undervalued companies, particularly those with share prices discounted to net asset value.
"
BME,B&M European Value Retail S.A.,Consumer Defensive,$3.2B,"B&M European Value Retail S.A. operates discount retail stores, offering a variety of merchandise including food, home goods, and DIY products, through its B&M, Heron Foods, and B&M Express chains in the UK and France.
"
BAB,Babcock International Group PLC,Industrials,$3.0B,"Babcock International Group PLC is a British engineering company specializing in defence, aerospace, and nuclear engineering, providing support services and managing complex assets.
"
BGFD,Baillie Gifford Japan Ord,N/A,$635.7M,"Baillie Gifford Japan Ord aims for long-term capital growth by investing in medium to smaller-sized Japanese companies.
"
USA,Baillie Gifford US Growth Ord,N/A,$761.3M,"Baillie Gifford US Growth Ord is a UK investment company focused on achieving long-term capital growth by investing in listed and unlisted US companies with high growth potential.
"
BAKK,Bakkavor Group plc,Consumer Defensive,$790.8M,"Bakkavor Group plc is a UK-based provider of fresh prepared foods (FPF) like meals, breads, soups, and salads, with operations in the UK, US, and China.
"
BBY,Balfour Beatty plc,Industrials,$2.3B,"Balfour Beatty PLC is an international infrastructure group based in the UK, with capabilities in construction, support services and infrastructure investments.
"
BCG,Baltic Classifieds Group PLC,Communication Services,$1.6B,"Baltic Classifieds Group PLC operates online classifieds portals for automotive, real estate, jobs & services, and general items in the Baltics.
"
BNKR,Bankers Ord,N/A,$1.4B,"Bankers Investment Trust aims for capital growth exceeding the FTSE World Index and dividend growth greater than UK CPI by investing in global companies.
"
BGEO,Bank of Georgia Group PLC,Financial Services,$2.0B,"Bank of Georgia Group PLC is a UK-based holding company providing banking and financial services in Georgia and Armenia through its subsidiaries.
"
BAG,A.G. BARR p.l.c.,Consumer Defensive,$693.0M,"A.G. Barr p.l.c. is a UK-based multi-beverage business that manufactures, distributes, and sells a range of soft drinks and other beverages.
"
BBGI,BBGI Global Infrastructure Ord,N/A,$1.0B,"BBGI Global Infrastructure invests in operational public-private partnership infrastructure assets, delivering long-term, sustainable returns and serving a social purpose.
"
AJB,AJ Bell plc,Financial Services,$1.8B,"AJ Bell is a UK investment platform providing online investment solutions and services, including SIPPs and ISAs, to both advised and direct-to-consumer clients.
"
BBH,Bellevue Healthcare Ord,N/A,$369.5M,"Bellevue Healthcare Trust is a UK-based investment trust focused on investing in listed global healthcare companies, aiming for long-term capital growth and income for its shareholders.
"
BWY,Bellway p.l.c.,Consumer Cyclical,$3.2B,"Bellway p.l.c. is a UK-based home construction company that builds and sells homes, from apartments to family homes, and provides social housing.
"
BHME,N/A,N/A,N/A,"N/A Business Services offers outsourced business support, including virtual PA, financial management, and event management, to small and medium-sized businesses.
"
BYG,Big Yellow Group Plc,Real Estate,$1.9B,"Big Yellow Group PLC is a UK-based company that acquires, owns, and manages self-storage facilities.
"
BRGE,BlackRock Greater Europe Ord,N/A,$586.5M,"BlackRock Greater Europe Ord is a UK investment trust focused on achieving capital growth through a portfolio of European companies, including large, mid, and small capitalization businesses.
"
BRSC,BlackRock Smaller Companies Ord,N/A,$627.4M,"BlackRock Smaller Companies Trust PLC invests in smaller UK companies listed on the London Stock Exchange to achieve long-term capital growth for shareholders.
"
THRG,BlackRock Throgmorton Trust Ord,N/A,$507.6M,"BlackRock Throgmorton Trust plc invests primarily in UK smaller and mid-capitalization companies traded on the London Stock Exchange, seeking long-term capital growth and an attractive total return for shareholders.
"
BRWM,BlackRock World Mining Trust Ord,N/A,$965.7M,"BlackRock World Mining Trust aims to provide a diversified investment in mining and metal assets worldwide, actively managed to maximize total returns, including royalties and physical metals.
"
BMY,Bloomsbury Publishing Plc,Communication Services,$535.9M,"Bloomsbury Publishing Plc is a global publisher of fiction, non-fiction, academic, and educational books for a wide range of audiences.
"
BSIF,Bluefield Solar Income Fund,N/A,$477.2M,"Bluefield Solar Income Fund is a UK investment trust focused on acquiring and managing a diversified portfolio of renewable energy assets, primarily solar, in the UK to provide stable income to investors.
"
BOY,Bodycote plc,Industrials,$1.2B,"Bodycote PLC is a global provider of heat treatment and thermal processing services that improve the properties of metals and alloys.
"
BREE,Breedon Group plc,Basic Materials,$1.5B,"Breedon Group PLC supplies the construction industry with essential materials like aggregates, asphalt, ready-mix concrete, and cement in Great Britain, Ireland, and the USA.
"
BPT,Bridgepoint Group plc,Financial Services,$3.1B,"Bridgepoint Group plc is a UK-based private equity and credit fund manager focused on investing in middle-market businesses.
"
