Ticker,Price,Change_Percent,Open_Volume,Put_Percent,Call_Percent,PC_Ratio,Next_Earning,Open_Volume_Priced,Open_Volume_Priced_ranked
SPY,615.82,0.65,3802829,59.96,40.04,1.5,,2341858154.78,1.0
QQQ,549.49,0.6,1587078,58.66,41.34,1.42,,872083490.22,0.995
IWM,216.63,0.57,751536,51.71,48.29,1.07,,162805243.68,0.99
GLD,301.73,-1.65,173096,42.09,57.91,0.73,,52228256.080000006,0.985
TLT,87.89,-0.07,350813,35.89,64.11,0.56,,30832954.57,0.98
TQQQ,82.06,1.77,281346,45.17,54.83,0.82,,23087252.76,0.975
HYG,80.41,0.03,272409,73.02,26.98,2.71,,21904407.689999998,0.97
DIA,438.57,1.07,49436,53.24,46.76,1.14,,21681146.52,0.965
IBIT,61.01,-0.21,342160,29.41,70.59,0.42,,20875181.599999998,0.96
SMH,279.6,0.87,66151,61.15,38.85,1.57,,18495819.6,0.955
KRE,59.6,0.19,228867,14.67,85.33,0.17,,13640473.200000001,0.95
EEM,48.19,-0.19,268029,34.77,65.23,0.53,,12916317.51,0.945
SLV,32.84,-1.5,269701,23.01,76.99,0.3,,8856980.840000002,0.94
XLF,52.08,0.55,141524,33.77,66.23,0.51,,7370569.92,0.935
ARKK,70.28,-1.06,101106,48.93,51.07,0.96,,7105729.68,0.93
LQD,109.23,0.04,61769,51.75,48.25,1.07,,6747027.87,0.925
SOXL,25.43,0.91,258733,37.98,62.02,0.61,,6579580.1899999995,0.92
GDX,50.6,-3.84,121969,18.88,81.12,0.23,,6171631.4,0.915
XLV,134.66,0.33,37829,73.3,26.7,2.75,,5094053.14,0.91
EWZ,28.18,0.18,163312,21.32,78.68,0.27,,4602132.16,0.905
XLE,85.11,-0.75,49939,54.65,45.35,1.21,,4250308.29,0.9
XLK,252.42,0.54,14377,24.37,75.63,0.32,,3629042.34,0.895
SQQQ,19.8,-1.69,163446,15.1,84.9,0.18,,3236230.8000000003,0.89
ASHR,27.4,-0.78,104719,39.32,60.68,0.65,,2869300.5999999996,0.885
USO,73.4,-0.26,38063,53.43,46.57,1.15,,2793824.2,0.88
VOO,567.83,0.65,4454,23.48,76.52,0.31,,2529114.8200000003,0.875
XHB,99.05,1.49,24795,14.51,85.49,0.17,,2455944.75,0.87
TSLL,12.35,-0.72,193394,29.94,70.06,0.43,,2388415.9,0.865
NVDL,70.76,4.03,32912,31.43,68.57,0.46,,2328853.12,0.86
KWEB,34.53,0.55,66958,18.15,81.85,0.22,,2312059.74,0.855
XOP,126.82,-0.75,16743,37.64,62.36,0.6,,2123347.26,0.85
EFA,89.51,1.1,23075,63.03,36.97,1.71,,2065443.2500000002,0.845
FXI,36.86,-0.82,55704,27.14,72.86,0.37,,2053249.44,0.84
ITB,93.69,1.55,17913,97.38,2.62,37.19,,1678268.97,0.835
TNA,33.9,1.62,46421,36.3,63.7,0.57,,1573671.9,0.83
VXX,48.27,-0.29,30444,54.13,45.87,1.18,,1469531.8800000001,0.825
XLP,80.52,0.44,16531,57.28,42.72,1.34,,1331076.1199999999,0.82
SPXL,171.79,1.84,7484,30.91,69.09,0.45,,1285676.3599999999,0.815
UVXY,18.89,0.11,65334,42.93,57.07,0.75,,1234159.26,0.81
XRT,77.58,1.24,14046,96.08,3.92,24.49,,1089688.68,0.805
XLY,217.74,1.27,4952,57.75,42.25,1.37,,1078248.48,0.8
BITX,53.85,-0.48,16916,40.48,59.52,0.68,,910926.6,0.795
XBI,83.71,0.04,10528,51.09,48.91,1.04,,881298.8799999999,0.79
IYR,94.73,0.82,8775,34.26,65.74,0.52,,831255.75,0.785
SOXX,239.94,0.36,3212,78.8,21.2,3.72,,770687.28,0.78
IVV,618.77,0.65,1192,65.27,34.73,1.88,,737573.84,0.775
VNQ,89.07,0.91,8211,91.6,8.4,10.9,,731353.7699999999,0.77
XME,66.36,-1.4,10985,93.93,6.07,15.47,,728964.6,0.765
EWJ,75.37,1.89,9218,27.02,72.98,0.37,,694760.66,0.76
XLI,146.96,1.11,4643,71.53,28.47,2.51,,682335.28,0.755
MSTX,38.87,5.0,17443,29.98,70.02,0.43,,678009.4099999999,0.75
INDA,55.97,0.47,11192,28.75,71.25,0.4,,626416.24,0.745
TMF,38.78,-0.13,15808,48.46,51.54,0.94,,613034.24,0.74
UPRO,90.55,1.83,6332,34.48,65.52,0.53,,573362.6,0.735
VTI,303.97,0.67,1879,21.66,78.34,0.28,,571159.63,0.73
CONL,47.58,-10.23,11474,27.63,72.37,0.38,,545932.9199999999,0.725
BOIL,53.35,9.32,9403,38.43,61.57,0.62,,501650.05,0.72
SOXS,7.77,-1.27,60791,17.64,82.36,0.21,,472346.06999999995,0.715
UVIX,22.68,-0.48,19625,26.54,73.46,0.36,,445095.0,0.71
UUP,26.97,-0.01,15980,26.2,73.8,0.36,,430980.6,0.705
VGT,660.23,0.5,595,26.55,73.45,0.36,,392836.85000000003,0.7
FAS,166.12,1.76,2343,31.54,68.46,0.46,,389219.16000000003,0.695
MDY,568.72,0.62,669,72.05,27.95,2.58,,380473.68,0.69
UNG,16.47,5.17,23067,31.56,68.44,0.46,,379913.49,0.685
ETHA,18.46,,19831,23.76,76.24,0.31,,366080.26,0.68
XLU,81.67,0.62,4445,36.54,63.46,0.58,,363023.15,0.675
ITA,187.7,1.73,1899,66.56,33.44,1.99,,356442.3,0.67
YINN,41.27,-2.5,8298,33.33,66.67,0.5,,342458.46,0.665
GDXJ,65.43,-3.42,5200,36.38,63.62,0.57,,340236.00000000006,0.66
IGV,109.16,0.41,3112,76.54,23.46,3.26,,339705.92,0.655
QLD,116.85,1.2,2814,7.14,92.86,0.08,,328815.89999999997,0.65
BITO,21.47,-0.32,15004,42.64,57.36,0.74,,322135.88,0.645
KOLD,22.59,-9.57,14181,21.92,78.08,0.28,,320348.79,0.64
RSP,181.4,0.65,1729,36.78,63.22,0.58,,313640.60000000003,0.635
DPST,87.45,0.37,3561,33.16,66.84,0.5,,311409.45,0.63
URNM,47.42,-0.75,6440,4.32,95.68,0.05,,305384.8,0.625
QQQM,226.17,0.6,1269,49.41,50.59,0.98,,287009.73,0.62
IEF,95.53,-0.12,2910,31.75,68.25,0.47,,277992.3,0.615
FBTC,93.73,-0.23,2787,24.47,75.53,0.32,,261225.51,0.61
ETHU,53.28,0.15,4488,29.9,70.1,0.43,,239120.64,0.605
URA,38.44,-0.7,6155,28.22,71.78,0.39,,236598.19999999998,0.6
NVDU,99.42,3.94,2256,29.61,70.39,,,224291.52,0.595
MUB,104.34,-0.01,2033,0.0,100.0,0.0,,212123.22,0.59
SMCX,48.6,-3.03,4360,29.91,70.09,0.43,,211896.0,0.585
JEPQ,54.28,0.27,3688,36.44,63.56,0.57,,200184.64,0.58
MSTU,8.37,4.95,23434,35.12,64.88,0.54,,196142.58,0.575
PPLT,122.18,-5.18,1569,31.55,68.45,0.46,,191700.42,0.57
OIH,232.14,0.22,820,58.78,41.22,1.43,,190354.8,0.565
SPXS,4.74,-2.07,40153,8.61,91.39,0.09,,190325.22,0.56
TECL,92.73,1.44,1950,33.85,66.15,0.51,,180823.5,0.555
UCO,22.35,-1.19,8003,17.78,82.22,0.22,,178867.05000000002,0.55
EWY,71.07,-1.21,2462,39.4,60.6,0.65,,174974.34,0.545
LABU,58.55,0.24,2970,57.88,42.12,1.37,,173893.5,0.54
PTIR,305.28,-7.88,563,65.72,34.28,1.92,,171872.63999999998,0.535
PALL,103.48,-0.41,1420,16.41,83.59,0.2,,146941.6,0.53
MSTY,21.81,1.25,6659,47.72,52.28,0.91,,145232.78999999998,0.525
XLB,88.05,0.31,1595,57.93,42.07,1.38,,140439.75,0.52
SSO,97.12,1.25,1424,41.01,58.99,0.7,,138298.88,0.515
IYW,172.65,0.61,750,14.93,85.07,0.18,,129487.5,0.51
NVDX,14.65,4.05,8815,20.48,79.52,0.26,,129139.75,0.505
SILJ,14.41,-3.39,8747,31.02,68.98,0.45,,126044.27,0.5
SPLG,72.45,0.66,1687,26.62,73.38,0.36,,122223.15000000001,0.495
YANG,30.38,2.46,3979,43.48,56.52,0.77,,120882.01999999999,0.49
SPXU,16.96,-1.74,7106,6.26,93.74,0.07,,120517.76000000001,0.485
AGQ,47.49,-3.12,2529,16.37,83.63,0.2,,120102.21,0.48
JETS,22.92,1.28,5162,56.82,43.18,1.32,,118313.04000000001,0.475
IJR,109.76,0.55,982,5.09,94.91,0.05,,107784.32,0.47
AMDL,8.78,0.34,12256,14.69,85.31,0.17,,107607.68,0.465
NUGT,70.43,-7.5,1501,33.18,66.82,0.5,,105715.43000000001,0.46
XLC,107.2,0.72,977,22.62,77.38,0.29,,104734.40000000001,0.455
USD,73.96,2.37,1394,12.77,87.23,0.15,,103100.23999999999,0.45
SHLD,59.48,-1.43,1515,3.63,96.37,0.04,,90112.2,0.445
IAU,61.75,-1.67,1455,15.74,84.26,0.19,,89846.25,0.44
