Ticker,Price,Change_Percent,Open_Volume,Put_Percent,Call_Percent,PC_Ratio,Next_Earning,Open_Volume_Priced,Open_Volume_Priced_ranked
TSLA,325.53,-0.08,2045497,43.35,56.65,0.77,2025-07-29,665870638.41,1.0
NVDA,158.47,2.23,3426398,39.45,60.55,0.65,2025-08-27,542981291.06,0.998
META,730.9,0.66,614915,27.71,72.29,0.38,2025-07-23,449441373.5,0.996
COIN,355.56,-5.2,806893,29.66,70.34,0.42,2025-08-12,286898875.08,0.994
AAPL,201.88,0.44,994700,39.5,60.5,0.65,2025-07-23,200810036.0,0.992
NFLX,1327.61,1.6,140846,48.38,51.62,0.94,2025-07-17,186988558.05999997,0.99
MSFT,498.87,0.29,364123,29.92,70.08,0.43,2025-07-29,181650041.01,0.988
AMZN,219.74,1.21,786835,24.17,75.83,0.32,2025-07-31,172899122.9,0.986
MSTR,397.0,2.73,340784,32.38,67.62,0.48,2025-08-05,135291248.0,0.984
AMD,144.01,0.23,877425,40.46,59.54,0.68,2025-08-05,126357974.24999999,0.982
PLTR,138.33,-4.1,733390,35.16,64.84,0.54,2025-08-11,101449838.7,0.98
CRCL,190.11,-11.01,463078,44.84,55.16,0.81,,88035758.58000001,0.978
MU,125.25,-0.6,555210,38.37,61.63,0.62,2025-09-25,69540052.5,0.976
UNH,308.03,1.79,205504,63.91,36.09,1.77,2025-07-29,63301397.12,0.974
GOOGL,173.8,0.15,341460,28.76,71.24,0.4,2025-07-29,59345748.00000001,0.972
AVGO,270.58,0.15,213026,32.37,67.63,0.48,2025-08-28,57640575.08,0.97
CRWV,165.47,4.67,327770,26.66,73.34,0.36,,54236101.9,0.968
GS,692.4,0.76,62381,35.7,64.3,0.56,2025-07-16,43192604.4,0.966
SMCI,48.56,-1.44,832316,17.71,82.29,0.22,2025-08-12,40417264.96,0.964
JPM,286.76,-0.69,131352,33.76,66.24,0.51,2025-07-15,37666499.519999996,0.962
COST,988.89,0.61,36044,49.61,50.39,0.98,2025-09-25,35643551.16,0.96
GOOG,174.74,0.18,201255,25.23,74.77,0.34,2025-07-29,35167298.7,0.958
NKE,73.23,17.09,404101,50.68,49.32,1.03,2025-09-25,29592316.23,0.956
CRWD,503.5,-0.34,58435,35.56,64.44,0.55,2025-09-02,29422022.5,0.954
CVNA,311.6,1.67,81069,36.81,63.19,0.58,2025-07-31,25261100.400000002,0.952
C,84.43,0.07,292919,24.84,75.16,0.33,2025-07-15,24731151.17,0.95
HOOD,82.85,-1.98,286639,30.83,69.17,0.45,2025-07-30,23748041.15,0.948
LLY,784.75,-1.3,29459,46.06,53.94,0.85,2025-08-07,23117950.25,0.946
BA,210.67,3.99,98752,36.85,63.15,0.58,2025-07-23,20804083.84,0.944
TSM,228.41,1.96,90468,40.0,60.0,0.67,2025-07-17,20663795.88,0.942
MRVL,77.65,-2.9,259797,19.52,80.48,0.24,2025-08-21,20173237.05,0.94
BRK-B,487.95,0.6,37407,54.56,45.44,1.2,2025-08-04,18252745.65,0.938
HIMS,49.91,7.84,350956,44.59,55.41,0.8,2025-08-11,17516213.959999997,0.936
SPOT,783.69,1.0,20229,46.43,53.57,0.87,2025-07-29,15853265.010000002,0.934
ORCL,214.49,0.78,73822,26.81,73.19,0.37,2025-09-15,15834080.780000001,0.932
UBER,90.33,-3.0,171043,28.51,71.49,0.4,2025-08-05,15450314.19,0.93
