,Company Name,Sector,Market Cap,Summary,Price,Change_percent,Attribution,Change_percent_5_days,Change_percent_20_days,Change_percent_251_days
SMT,Scottish Mortgage Ord,,$13.4B,"Scottish Mortgage is a global investment trust that aims to identify, own, and support exceptional growth companies, both public and private.
",1034.5,-2.91,"On February 28, 2025, Scottish Mortgage Ord experienced a stock change of -2.91%.

Based on available information:
*   As of February 27, 2025, Scottish Mortgage Investment Trust PLC closed at 1,065.50, which was 6.74% below its 52-week high of 1,142.50 on Feb 18, 2025.
*   Scottish Mortgage Investment Trust changes chair, reduces Nvidia stake.
*   Investment trust Scottish Mortgage revealed that it has lowered its stake in AI-darling Nvidia on Friday as it warned of unsustainable costs related to the technology's adoption.",-6.633574007220217,-4.698295716259788,28.996072256835802
STJ,St. James's Place plc,Financial Services,$5.8B,"St. James's Place plc is a UK-based wealth management company providing financial planning advice to individuals, trustees, and businesses.
",1068.0,-2.73,"On February 28, 2025, St. James's Place plc experienced a stock price change of -2.73 percent.

Several factors could contribute to stock price fluctuations. According to one source, on February 27, 2025, shares in St James's Place were down 4.3% due to the company announcing a GBP92.6 million share buyback, having made no repurchases in 2023.
",-3.783783783783784,1.3282732447817838,117.4844820508091
PCT,Polar Capital Technology Ord,,$4.4B,"Polar Capital Technology Ord seeks to maximize capital growth by investing in a diverse, global portfolio of technology stocks.
",332.9,-2.37,"On February 28, 2025, Polar Capital Technology Ord experienced a stock price change of -2.37%.

While I can confirm the stock price decrease, I don't have enough information to determine the exact reasons for this change.
",-8.54395604395605,-11.226666666666672,11.524288107202672
FRES,Fresnillo plc,Basic Materials,$5.6B,"Fresnillo plc is a UK-based precious metals mining company, the world's largest primary silver producer and Mexico's second-largest gold miner.
",736.5,-2.0,"Based on available information for February 28, 2025, here's what might be happening with Fresnillo plc:

**Stock Price Change:** You mentioned a -2.0% change in Fresnillo plc's stock. However, one source [1] shows the stock price as increasing (+1.00). It's important to verify the accuracy of the initial information about the stock change.

**Possible Factors Influencing the Stock:**

*   **Broader Market Trends:** Overall market trends could be impacting Fresnillo. For example, one source [6] mentions the FTSE 250 was down on February 27, 2025.
*   **Company-Specific News:**
    *   Fresnillo's full-year preliminary results are expected on March 4, 2025 [1]. Expectations surrounding this report could be influencing stock behavior.
    *   Fresnillo expects lower gold output in 2025 due to adjustments at the Herradura mine [4]. This may be influencing investor sentiment.
*   **Precious Metals Prices:** Fresnillo's performance is linked to gold and silver prices.
    *   One source [4] noted that average realized gold and silver prices were up significantly in 2024.

**Other Relevant News:**

*   Fresnillo is purchasing the Naranjillo NSR from Plata Latina [3].
*   Fresnillo is continuing drilling and resource refinement at the Tajitos project [2].

It's difficult to pinpoint the exact cause of the stock change without more specific real-time data and analysis. However, the factors above provide a general overview of the context surrounding Fresnillo plc.
",-5.1513200257566,5.818965517241379,54.717358284233086
WPP,WPP plc,Communication Services,$8.4B,"WPP plc is a global communications group providing marketing and technology services, including advertising and public relations.
",632.91,-1.9,,-16.015124667712325,-18.165246958777836,-11.188823231918798
EDV,Endeavour Mining plc,Basic Materials,$4.2B,"Endeavour Mining plc is a UK-based multi-asset gold producer focused on exploration, extraction, and processing of gold in West Africa.
",1516.0,-1.88,,-12.873563218390805,-7.72976262933658,13.703525475521335
ANTO,Antofagasta plc,Basic Materials,$16.7B,"Antofagasta plc is a UK-based copper mining company with interests in transport and its core business is mining, mainly in Chile.
",1744.5,-1.83,,-4.148351648351648,1.1304347826086958,-5.075526726282472
HWDN,Howden Joinery Group Plc,Consumer Cyclical,$4.5B,"Howden Joinery Group Plc is a UK-based supplier of kitchens, joinery, and hardware products, primarily to trade customers, with operations in the United Kingdom, France, Belgium, and the Republic of Ireland.
",774.0,-1.71,,-8.402366863905325,-5.6672760511883,-9.579020180127275
III,3i Group Ord,,$38.3B,"3i Group is a London-based international investment company focusing on private equity and infrastructure.
",3942.0,-1.6,,-3.9239580794540583,0.9733606557377049,58.6626236589063
ICG,Intermediate Capital Group plc,Financial Services,$6.9B,"Intermediate Capital Group (ICG) is a global alternative asset manager investing and managing capital across private debt, real assets, structured & private equity and credit for a global client base.
",2254.0,-1.49,,-5.847953216374268,-4.89451476793249,16.135955684503482
