,Attribution,Change_percent,Change_percent_20_days,Change_percent_251_days,Change_percent_5_days,Company Name,Market Cap,Price,Sector,Summary
BWY,"On February 11, 2025, Bellway p.l.c. experienced a stock price decrease of approximately 5.38% to 5.5%. Here's what likely contributed to this change:

*   **Overall Performance:** Bellway reported strong growth in home completions in the six months leading up to January 31, 2025. They saw an 11.9% increase, completing 4,577 homes, with the average selling price at £310,600. The forward order book was also healthy, with 4,726 homes.
*   **Investor Sentiment:** Despite the positive indicators, the stock experienced a decline. This decline may be attributed to investors feeling wary of a potential sluggishness in the market after April and concerns over the broader economic environment and its potential impact on the housing market, and sensitivity to mortgage affordability.
*   **Mortgage Market:** Rising mortgage rates are impacting affordability and customer demand.
*   **Autumn Season:** Bellway noted that they did not experience the typical seasonal step-up in reservations during the autumn.
*   **Analyst Perspective:** One analyst noted that the company's robust performance is ""at odds"" with its subdued share price performance and that the underlying housing market appears stronger than investors perceive.

",-5.38,10.37306642402184,-10.938014378234268,-6.114551083591331,Bellway p.l.c.,$3.2B,2426.0,Consumer Cyclical,"Bellway p.l.c. is a UK-based home construction company that builds and sells homes, from apartments to family homes, and provides social housing.
"
FXPO,"On February 11, 2025, Ferrexpo plc's stock experienced a change of -3.65 percent.

Based on available information, one potential reason for a recent dramatic change in Ferrexpo's stock price relates to legal issues involving its Ukrainian subsidiary:

*   **Civil Claim:** On February 4, 2025, it was reported that a civil claim of approximately $3.76 billion had been filed against Ferrexpo Poltava Mining (FPM), Ferrexpo's Ukrainian subsidiary, seeking joint liability for damages allegedly caused to the Ukrainian state (Reuters, Morningstar). The claim involves accusations of illegal mining and the sale of waste products, which FPM denies (Reuters, Morningstar).
*   **Stock Impact:** News of the lawsuit caused Ferrexpo's shares to plunge, with one report stating a nearly 21% drop on the day the claim was announced (MarketScreener). Another report indicated a 38% drop in London trading on the same day (Morningstar).

",-3.65,-5.771251705806076,6.968437479949547,12.249999999999996,Ferrexpo plc,$538.9M,89.8,Basic Materials,"Ferrexpo plc is a Swiss-based commodity trading and mining company, and the third largest exporter of iron ore pellets in the world, with operations based in central Ukraine.
"
CAML,"On February 11, 2025, Central Asia Metals plc experienced a stock price decrease. However, the percentage change you provided (-3.58%) seems to differ from what's indicated in the search results. One article mentions Central Asia Metals trading down 4.6% on February 11, 2025.

Based on the search results, here are some factors that could be influencing the stock price:

*   **Canaccord Genuity Group Lowered Price Target:** Canaccord Genuity Group reduced its target price for Central Asia Metals from GBX 215 to GBX 175, which may have negatively impacted investor sentiment.
*   **Overall Market conditions:** Investor discussions have been optimistic, particularly due to rising copper prices.

",-3.58,2.6281229513546314,7.161991711339633,3.7184552918511713,Central Asia Metals plc,$276.6M,156.2,Basic Materials,"Central Asia Metals plc is a base metals producer with copper operations in Kazakhstan, and zinc and lead mine in North Macedonia.
"
ASC,"On February 11, 2025, the stock price of ASOS Plc experienced a change of -3.4%.

Based on the information available, it's difficult to pinpoint the exact reason for this specific change without more detailed real-time news or market analysis. However, I can offer some general factors that often influence stock price fluctuations:

*   **Overall Market Conditions:** General market trends, economic news, and investor sentiment can all impact individual stock prices.
*   **Company-Specific News:** Any significant news about ASOS Plc itself (e.g., earnings reports, new product launches, changes in leadership, major contracts) could influence its stock price.
*   **Industry Trends:** Trends and news within the fashion retail industry can also play a role.
*   **Financial Performance:** Investors react to financial data, for example the final results for the period to 1 September 2024. Adjusted revenue decreased and adjusted gross margin also decreased.
",-3.4,0.15773031365476323,-4.726180091259693,-5.646356731605072,ASOS Plc,$481.3M,381.0,Consumer Cyclical,"ASOS Plc is a UK-based global online fashion and cosmetic retailer targeting young adults, offering over 850 brands, including its own, and shipping to 196 countries.
"
CCL,"Based on available information for February 11, 2025, here are potential factors that could be influencing Carnival Corporation & plc's stock price:

*   **Norovirus Outbreak:** A Norovirus outbreak on a Carnival Cruise Line brand may be a factor in the stock price change.
*   **Debt Management:** Carnival has been actively managing its debt by redeeming high-interest notes and issuing new, lower-interest ones. On February 10, 2025, they closed a private offering to redeem senior priority notes, which is expected to reduce annual net interest expense.
*   **Analyst Expectations:** Some analysts believe that consensus earnings expectations for Carnival in 2025 may be too low, citing strong onboard spending growth and conservative guidance from the company.
*   **External Factors:** The cruise industry is vulnerable to factors like viral outbreaks, potential slowdowns in consumer spending, and fluctuations in fuel costs.

",-3.03,4.981460674157307,72.06906077348066,-4.659693877551017,Carnival Corporation & plc,$25.8B,1868.67,Consumer Cyclical,"Carnival Corporation & plc is a global cruise and vacation company with a portfolio of cruise lines, offering cruises to various destinations.
"
ITV,"On February 11, 2025, ITV PLC's stock price experienced a change. However, the exact change reported varies across sources:

*   One source indicates a gain of +4.73% as of February 10, 2025 [1].
*   Another source shows a decrease of -0.53% at 10:32 on February 11, 2025 [2].
*   Yet another source shows a gain of +2.77% as of February 10, 2025 [4, 7].

Given these discrepancies, it's difficult to determine the precise stock change on February 11, 2025, without more consistent data.

To determine the reasons behind stock fluctuations, it's important to consider various factors that may influence stock prices, such as:

*   **Company News:** Any significant news about ITV PLC, such as earnings reports, mergers, or acquisitions, could impact investor sentiment and stock prices [1]. For instance, there were discussions about a potential merger between ITV Studios and RedBird IMI [1].
*   **Market Trends:** Overall market conditions and trends in the media and entertainment industry can affect individual stock performance [11].
*   **Analyst Ratings:** Changes in analyst ratings or price targets can influence investor decisions [1].
*   **Economic Factors:** Economic factors, such as inflation or changes in advertising revenue, can also play a role [5, 11].
*   **Company-Specific Challenges:** Production delays and the impact of strikes can affect revenue and investor confidence [5].

It's recommended to consult reliable financial news sources for the most up-to-date and accurate information on ITV PLC's stock performance and the factors driving it.
",-2.9,7.725319536826995,39.162124500176034,2.7285086834579917,ITV plc,$2.8B,75.3,Communication Services,"ITV plc is a vertically integrated producer, broadcaster, and streamer creating, owning, and distributing content globally through ITV Studios and its Media & Entertainment division.
"
IPO,"Based on the available information, here's what might be happening with IP Group Plc:

**1. Share Buyback Program:**

*   IP Group Plc has been actively purchasing its own shares on the London Stock Exchange as part of a share buyback program that was extended on January 9, 2025. For example, on February 10, 2025, they purchased 340,000 ordinary shares.
*   These repurchased shares are then being cancelled, which decreases the number of ordinary shares in issue.
*   On February 11, 2025, the company purchased 25,000 ordinary shares.
*   Also on February 11, 2025, the company purchased 233,890 ordinary shares for cancellation at a price of 71.5p per share.

**2. Possible Reasons for Stock Price Change:**

*   **Share Buybacks:** Share buybacks can sometimes influence the stock price. When a company buys back its own shares, it reduces the supply of shares available in the market, which can potentially increase the demand and price per share. However, the effect isn't always immediate or guaranteed.
*   **Other Market Factors:** It's important to consider that numerous factors can affect stock prices, including overall market sentiment, industry trends, and company-specific news.

**In summary:** IP Group Plc is currently executing a share buyback program. While this activity can influence the stock price, it is difficult to pinpoint the exact cause of the -2.88% change without analyzing broader market conditions and any specific news or announcements related to IP Group Plc on February 11, 2025.
",-2.88,-4.695484192989205,-3.1736497456030897,-4.319528067029727,IP Group Plc,$511.4M,48.51,Financial Services,"IP Group PLC is a UK-based investor that develops and supports early-stage science and technology businesses, particularly in deep tech, life sciences, and clean technology.
"
BYIT,"On February 11, 2025, Bytes Technology Group PLC experienced a stock price change of -2.32%.

Based on the search results, several factors could be contributing to this change:

*   **Financial Results:** On Tuesday morning, Bytes Technology Group shares were in the red, after it reported a 2.9% drop in revenue to £105.5m, but a 13.7% increase in gross invoiced income (GII), reaching £1.23bn.
*   **Overall Market conditions:** The FTSE 100 was underperforming against European peers.

It's important to note that this is just a snapshot of the information available, and a more in-depth analysis would be needed to determine the exact cause of the stock price change.
",-2.32,14.222222222222229,-26.60652574220072,-1.319393757400179e-06,Bytes Technology Group plc,$1.1B,462.6,Technology,"Bytes Technology Group PLC is a UK-based IT company that provides software, security, and cloud solutions to both public and private sectors.
"
HOC,"A significant change in Hochschild Mining plc's stock price can be influenced by several factors. Based on recent news and analysis, here's a breakdown of potential reasons for a change of -2.31 percent on February 11, 2025:

**Factors that could negatively impact the stock price:**

*   **Cost Concerns:** Higher than anticipated operating expenses projected for 2024 and 2025 could lead to price target reductions from analysts.
*   **Inflation and Currency Fluctuations:** Inflationary pressures, particularly in Argentina, and currency fluctuations can increase operating costs.
*   **Operational Delays:** Slower than expected ramp-up of operations at the Mara Rosa mine in Brazil can contribute to increased costs.
*   **Increased Capital Expenditure:** Rising sustaining capital expenditures, especially at the Inmaculada mine, can strain finances.
*   **Analyst Downgrades:** Downgrades from ""Outperform"" to ""Sector Perform"" due to inflation and capital expenditure concerns can negatively affect investor sentiment.

**Other Considerations:**

*   **Production:** While Q4 production may be strong and in line with expectations, cost increases can overshadow positive production news.
*   **Volatility:** Hochschild Mining stock is considered to have high volatility, so significant price swings are not unusual.
*   **Broader Market Trends**: General market trends and investor sentiment can also influence the stock price. For example, London stocks closed lower on Wednesday because of higher-than-expected government borrowing figures for December.

It's important to note that a combination of these factors could be contributing to the stock price change. To get a clearer picture, it would be beneficial to consult real-time financial news and analysis specific to Hochschild Mining plc on February 11, 2025.
",-2.31,-15.170842824601372,107.23428287383885,3.7904160172041514,Hochschild Mining plc,$947.6M,186.2,Basic Materials,"Hochschild Mining PLC is a precious metals company focused on the exploration, mining, processing, and sale of gold and silver in the Americas.
"
ASHM,"On February 11, 2025, Ashmore Group Plc experienced a stock price change of -2.16%.

Based on the search results, here are some potential reasons for the stock price change:

*   **Lower management fees:** ""Ashmore stock dips on lower management fees.""
*   **Drop in half-year profit:** ""Ashmore reports 33% drop in half-year profit amid lower assets, market volatility.""
*   **Downgraded by Jefferies:** ""Ashmore downgraded by Jefferies to 'hold' amid EM headwinds.""

",-2.16,11.164061800487334,-17.86221919384847,-4.335089092289746,Ashmore Group Plc,$1.1B,163.3,Financial Services,"Ashmore Group PLC is a UK-based investment manager specializing in emerging markets, managing assets across various investment themes.
"
