,Company Name,Sector,Market Cap,Summary,Price,Change_percent,Attribution,Change_percent_5_days,Change_percent_20_days,Change_percent_251_days
BTRW,Barratt Redrow plc,Consumer Cyclical,$6.6B,"Barratt Redrow plc, formerly Barratt Developments PLC, is a UK-based housebuilder and commercial developer, acquiring land, obtaining planning consents, and constructing homes.
",438.2,-3.27,"On February 7, 2025, Barratt Redrow plc experienced a stock change of -3.27%. Here's what likely contributed to this change:

*   **Merger with Redrow:** Barratt Developments and Redrow have merged to become Barratt Redrow plc. This merger was a significant event, and such events often lead to stock price adjustments as the market assesses the potential benefits and risks of the combined entity.
*   **Name Change and Board Changes:** The company officially changed its name to Barratt Redrow plc. Matthew Pratt was appointed as Chief Executive Officer, Redrow and Group Executive Director, and Geeta Nanda and Nicky Dulieu were appointed as Non-Executive Directors.
*   **Market Challenges:** Both Barratt and Redrow have reported facing market challenges, including declines in home completions and revenue.
*   **Half-Year Results:** Barratt Developments released its half-year results, which may have influenced investor sentiment.
*   **Share Options:** There was a lapse of certain share options for key executives.

",-3.7980241492865012,9.879642280100867,-7.182885222758167
GSK,GSK plc,Healthcare,$61.4B,"GSK plc is a global biopharma company researching, developing, and manufacturing pharmaceutical medicines, vaccines, and consumer healthcare products.
",1440.5,-2.64,"Based on the search results, here's what might be happening with GSK plc's stock:

**1. Stock Movement and Performance:**

*   On February 5, 2025, GSK's stock was up significantly (over 7%) after the company reported its Q4 results and issued a positive outlook for fiscal year 2025.
*   However, today, February 7, 2025, reports indicate the stock is down. One source mentions a 3.5% decrease.
*   It is important to note that stock data is delayed by at least 15 minutes.

**2. Positive Factors:**

*   GSK's full-year results for 2024 beat expectations.
*   2024 sales grew 7% to £31 billion, with specialty medicines up 19%.
*   The board raised its 2031 revenue forecast to more than £40 billion.
*   GSK announced a £2 billion share buyback, its first in over a decade.
*   GSK expects turnover to increase between 3% to 5% and core operating profit to increase between 6% to 8% for 2025.

**3. Potential Negative Factors and Risks:**

*   GSK is facing Zantac litigation, which has had a significant impact on its profits. A charge of £1.8 billion related to the settlement of Zantac litigation hurt the bottom line.
*   There are class action lawsuits being filed against GSK, with law firms investigating potential securities fraud related to the Zantac issue. The lawsuits concern allegations that GSK made false or misleading statements about its knowledge of the source of NDMA in Zantac.
*   Vaccine sales saw a 4% drop.

It's important to consider both the positive and negative factors when analyzing GSK's stock performance. News regarding litigation, overall market trends, and specific company announcements can all influence stock prices.
",2.526690391459075,6.743238236383846,-7.953900259190724
TW,Taylor Wimpey plc,Consumer Cyclical,$4.3B,"Taylor Wimpey plc is a UK-based residential developer involved in land acquisition, planning, and construction of various homes, also operating in Spain.
",116.82,-2.57,"On February 7, 2025, Taylor Wimpey PLC experienced a stock price change. Shares Magazine reported a decrease of 1.11% at 10:12 on February 7, 2025. However, this is different from the -2.57% you cited.

Without more specific information, it's challenging to pinpoint the exact cause of the stock fluctuation. However, several factors could influence stock prices, including:

*   **Overall Market Trends:** General market sentiment and economic news can impact all stocks, including Taylor Wimpey.
*   **Company-Specific News:** Announcements about Taylor Wimpey's performance, projects, or strategy could influence investor confidence. For example, on January 16, 2025, Taylor Wimpey warned about rising build costs.
*   **Analyst Ratings:** Changes in ratings from financial analysts can also affect stock prices. For example, on January 17, 2025, RBC Capital cut Taylor Wimpey's price target.
*   **Trading Volume:** High trading volume can sometimes indicate significant price swings.
*   **Sector Performance:** The performance of the broader homebuilding sector can influence Taylor Wimpey's stock.
",-2.852390852390858,6.831277210897044,-15.717982387770258
MNDI,Mondi plc,Basic Materials,$5.6B,"Mondi plc is a global packaging and paper company that manufactures and sells pulp, paper, and flexible plastic packaging products, with a focus on sustainability.
",1273.0,-2.56,"On February 7, 2025, Mondi plc experienced a stock price change of -2.56%. While I don't have specific information on *why* this change occurred on that particular day, I can offer some potential reasons based on available information and general stock market factors:

**General Factors Influencing Stock Prices:**

*   **Market Risks:** Broad market downturns or increased investor risk aversion can negatively impact stock prices.
*   **Company-Specific News:** Events like earnings reports, new product launches, or significant deals can influence investor sentiment.
*   **Analyst Ratings:** Changes in analyst ratings (downgrades, in this case) can lead to investors selling shares.
*   **Major Interest in Shares:** Notifications of major shareholders increasing or decreasing their positions can affect the stock price.
*   **Trading Volume:** Higher than average trading volumes can sometimes indicate increased selling pressure.

**Potential News Relating to Mondi plc:**

*   **Analyst Downgrades:** Barclays downgraded Mondi due to market risks (mentioned in search result \[5]).
*   **Overall Market Performance:** On February 6, 2025, UK stocks closed higher (mentioned in search result \[5]). This suggests that Mondi's decline may be company-specific rather than a broad market trend.

To get a definitive answer on the cause of the -2.56% change on February 7, 2025, you would need to consult specific financial news sources from that day.
",0.8316831683168318,9.836065573770492,-2.0547673090489313
ICG,Intermediate Capital Group plc,Financial Services,$6.9B,"Intermediate Capital Group (ICG) is a global alternative asset manager investing and managing capital across private debt, real assets, structured & private equity and credit for a global client base.
",2321.84,-2.44,"On February 7, 2025, Intermediate Capital Group PLC (ICG) experienced a stock change of -2.44%. To understand the potential reasons for this change, here's a breakdown of relevant news and factors:

**Key Developments:**

*   **Investment in Sales and Marketing:** The board has sanctioned a £0.5 million investment in sales and marketing activities for 2025 to build a larger pipeline, which may result in lower EBITDA for 2025 compared to 2024.
*   **New Business Wins:** ICG has secured four substantial new contracts since the end of 2024, with aggregate contract values of £1.9 million over 2-5 years.
*   **Legacy Services:** The company is prioritizing new business acquisition to offset the expected reduction in revenues from legacy platforms and return to growth in revenues and profits.

**Potential Factors Influencing Stock Price:**

*   **EBITDA Expectation:** The anticipated lower EBITDA for 2025 due to increased investment could be a factor influencing the stock price.
*   **Overall Market Conditions:** General market trends and investor sentiment can always play a role in stock price fluctuations.
*   **Company Performance:** Investors may be reacting to the company's strategic shift from legacy services to new projects and the associated uncertainties.
*   **Total Voting Rights:** a total voting rights announcement was made on February 7, 2025.

**Additional Information:**

*   On February 6th, 2025, the stock price increased by 1.62 percent since the previous trading session.
*   The company's full-year results announcement is scheduled for May 21, 2025.

**Disclaimer:** This analysis is based on the available information and does not constitute financial advice.
",-2.032067510548517,14.602171767028635,32.94529972764424
LAND,Land Securities Group Plc,Real Estate,$4.4B,"Land Securities Group PLC is a UK-based real estate company that develops, invests in, and manages a diverse portfolio of properties, including retail, office, and leisure spaces.
",579.5,-2.28,"Based on the information available, here's a breakdown of what might be happening with Land Securities Group Plc (LON:LAND) on February 7, 2025:

**Likely Cause of Stock Change:**

*   **Analyst Target Price:** On January 29, 2025, Jefferies set a target price of 550 GBX for Land Securities Group, indicating a potential downside of -2.0% from the then-current share price of 562 GBX. This could be a contributing factor to the stock change.

**Other Relevant Information:**

*   **Company Activity:** Land Securities is a real estate investment trust (REIT) that owns, develops, and manages offices, shopping centers, and retail parks in the UK.
*   **Dividend Information:** Land Securities has declared a dividend.

It's important to note that without more specific real-time information, it's challenging to pinpoint the exact cause of the -2.28% stock change.
",-0.9401709401709402,7.215541165587419,-3.8029364714216687
HWDN,Howden Joinery Group Plc,Consumer Cyclical,$4.5B,"Howden Joinery Group Plc is a UK-based supplier of kitchens, joinery, and hardware products, primarily to trade customers, with operations in the United Kingdom, France, Belgium, and the Republic of Ireland.
",810.0,-2.17,"On February 7, 2025, Howden Joinery Group Plc experienced a stock price change of -2.17%.&#x20;

Based on the provided search results, here's a summary of factors that may have influenced the stock price:

*   **Broader Market Trends:** ""Challenging"" economic conditions and weak consumer spending have been mentioned as factors impacting sales and profits at Howdens.
*   **Analyst Ratings:** Berenberg lowered its target price on Howden Joinery, which could influence investor sentiment. RBC Capital Markets also downgraded Howden Joinery in the past.
*   **Company Announcements:** Recent announcements regarding total voting rights and holdings in the company could also play a role.

",-1.2797074954296161,7.213765718067505,4.70508734536598
PSN,Persimmon Plc,Consumer Cyclical,$4.1B,"Persimmon Plc is a UK-based housebuilder that designs, constructs, and maintains residential buildings under the Persimmon Homes, Charles Church, and Westbury Partnerships brands.
",1232.0,-2.14,"On February 7, 2025, Persimmon Plc's stock experienced a change of -2.14%. However, I don't have enough information to explain the specific reasons for this change.

Here's what I can tell you based on my search results:

*   **Share Price Information:** According to intelligentinvestor.com.au, Persimmon PLC's current share price is 1,261.00p. This represents a decrease of -1.14% compared to its closing share price of 1,275.50p seven days prior. Relative to the opening stock price for the day, the stock is down 4 or -0.32%.
*   **Housebuilder Sector:** An article on thearmchairtrader.com suggests that UK housebuilders like Persimmon and Vistry may be currently underrated.
*   **A43 Road Closure:** A road closure related to a Persimmon Homes project might be tangentially related to the company's operations, but it's unlikely to be the primary cause of a stock price change.
*   **General Market Sentiment:** Articles from fool.co.uk and Hargreaves Lansdown indicate general market trends and factors that could influence Persimmon's stock, such as UK and US inflation data, central bank decisions, and economic data.
*   **Company News:**
    *   On January 14, 2025, Persimmon announced that its full-year underlying pre-tax profit was expected to be at the upper end of market expectations, with increased completions.
    *   However, in November 2024, there were reports about concerns over rising costs for 2025, which caused Persimmon's shares to drop at the time.

To determine the exact reason for the -2.14% change in Persimmon Plc's stock price on February 7, 2025, you would need to consult real-time financial news sources that provide specific analysis of the day's market movements and company-specific news.
",-2.6856240126382307,14.391829155060353,-9.504996055627576
MKS,Marks and Spencer Group plc,Consumer Cyclical,$7.2B,"Marks and Spencer Group plc is a major British multinational retailer that sells clothing, beauty, home, and food products through its UK and international stores and online.
",345.91,-2.09,"On February 7, 2025, Marks and Spencer Group PLC's stock experienced a decrease of -2.09%.

Based on the search results, one potential reason for the stock change is the announcement that John Lyttle, the former CEO of Boohoo, would be joining M&S as the new boss of its clothing, home, and beauty divisions. Some investors reacted negatively to this news. Analysts at AJ Bell noted that Lyttle might seem like an ""odd choice,"" considering Boohoo's struggles during his tenure. His background is in low-cost retailing, which may not align with M&S's business model of offering good quality products at a slightly higher price.
",3.010724411718685,3.2567164179104555,45.89151791920015
UTG,Unite Group PLC,Real Estate,$4.2B,"The Unite Group PLC is a UK-based REIT that develops, manages, and operates purpose-built student accommodation (PBSA), partnering with universities and renting rooms directly to students.
",849.5,-1.96,,-0.8751458576429404,10632.785901380075,-12.254416276783186
